date,rang,plateforme,nom,TVL (USD),APR (%),score,gain_estime_24h
2025-06-17 17:07:21,1,spectra-v2,STUSD,132448.0,54046.6,108927.58,100
2025-06-17 17:07:21,2,beefy,NOICE-WETH,30528.0,138013.21,62773.56,100
2025-06-17 17:07:21,3,berapaw,BULLISHV2,28784.0,28862.79,28807.64,100
2025-06-17 17:38:38,1,spectra-v2,STUSD,132448.0,54046.6,108927.58,~148.07 € / 24h
2025-06-17 17:38:38,2,beefy,NOICE-WETH,30528.0,138013.21,62773.56,~378.12 € / 24h
2025-06-17 17:38:38,3,berapaw,BULLISHV2,28784.0,28862.79,28807.64,~79.08 € / 24h
2025-06-17 17:39:42,1,spectra-v2,STUSD,132448.0,54046.6,108927.58,~148.07 € / 24h
2025-06-17 17:39:42,2,beefy,NOICE-WETH,30528.0,138013.21,62773.56,~378.12 € / 24h
2025-06-17 17:39:42,3,berapaw,BULLISHV2,28784.0,28862.79,28807.64,~79.08 € / 24h
2025-06-17 17:41:09,1,spectra-v2,STUSD,132448.0,54046.6,108927.58,~148.07 € / 24h
2025-06-17 17:41:09,2,beefy,NOICE-WETH,30528.0,138013.21,62773.56,~378.12 € / 24h
2025-06-17 17:41:09,3,berapaw,BULLISHV2,28784.0,28862.79,28807.64,~79.08 € / 24h
2025-06-17 17:47:59,1,spectra-v2,STUSD,132448.0,54046.6,108927.58,~148.07 € / 24h
2025-06-17 17:47:59,2,beefy,NOICE-WETH,30528.0,138013.21,62773.56,~378.12 € / 24h
2025-06-17 17:47:59,3,berapaw,BULLISHV2,28784.0,28862.79,28807.64,~79.08 € / 24h
2025-06-17 17:51:00,1,spectra-v2,STUSD,132448.0,54046.6,108927.58,~148.07 € / 24h
2025-06-17 17:51:00,2,beefy,NOICE-WETH,30528.0,138013.21,62773.56,~378.12 € / 24h
2025-06-17 17:51:00,3,berapaw,BULLISHV2,28784.0,28862.79,28807.64,~79.08 € / 24h
2025-06-17 17:53:51,1,spectra-v2,STUSD,132448.0,54046.6,108927.58,~148.07 € / 24h
2025-06-17 17:53:51,2,beefy,NOICE-WETH,30528.0,138013.21,62773.56,~378.12 € / 24h
2025-06-17 17:53:51,3,berapaw,BULLISHV2,28784.0,28862.79,28807.64,~79.08 € / 24h
2025-06-17 18:01:11,1,spectra-v2,STUSD,132448.0,54046.6,108927.58,~148.07 € / 24h
2025-06-17 18:01:11,2,beefy,NOICE-WETH,30528.0,138013.21,62773.56,~378.12 € / 24h
2025-06-17 18:01:11,3,berapaw,BULLISHV2,28784.0,28862.79,28807.64,~79.08 € / 24h
2025-07-16 15:48:17,1,spectra-v2,STUSD,132448.0,54046.6,108927.58
2025-07-16 15:48:17,2,beefy,NOICE-WETH,30528.0,138013.21,62773.56
2025-07-16 15:48:17,3,berapaw,BULLISHV2,28784.0,28862.79,28807.64
