date,gain_simule,solde_avant,solde_apres
2025-06-17 17:07:21,220922.6,100.0,221022.6
2025-06-17 17:38:38,605.2674,705.2674,1310.5348
2025-06-17 17:39:42,605.2674,1310.5348,1915.8022
2025-06-17 17:41:09,605.2674,1915.8022,2521.0696
2025-06-17 17:47:59,605.2674,2521.0696,3126.337
2025-06-17 17:51:00,605.2674,3126.337,3731.6044
2025-06-17 17:53:51,605.2674,3731.6044,4336.8718
2025-06-17 18:01:11,605.2674,4336.8718,4942.1392
2025-07-16 14:59:19,0,1000,1000
2025-07-16 15:04:46,0,1000,1000
2025-07-16 15:07:11,0,1000,1000
2025-07-16 15:09:44,0,1000,1000
2025-07-16 15:12:51,0,1000,1000
2025-07-16 15:15:36,0,1000,1000
2025-07-16 15:21:51,0,1000,1000,0.15
2025-07-16 15:24:32,0,1000,1000,0.15
2025-07-16 15:24:32,0,1000,1000,0.15
2025-07-16 15:24:32,0,1000,1000,0.15
2025-07-16 15:24:32,0,1000,1000,0.15
2025-07-16 15:24:33,0,1000,1000,0.15
2025-07-16 15:24:33,0,1000,1000,0.15
2025-07-16 15:24:33,0,1000,1000,0.15
2025-07-16 15:24:33,0,1000,1000,0.15
2025-07-16 15:24:33,0,1000,1000,0.15
2025-07-16 15:24:34,0,1000,1000,0.15
2025-07-16 15:24:34,0,1000,1000,0.15
2025-07-16 15:24:34,0,1000,1000,0.15
2025-07-16 15:24:34,0,1000,1000,0.15
2025-07-16 15:24:35,0,1000,1000,0.15
2025-07-16 15:24:35,0,1000,1000,0.15
2025-07-16 15:24:35,0,1000,1000,0.15
2025-07-16 15:24:35,0,1000,1000,0.15
2025-07-16 15:24:35,0,1000,1000,0.15
2025-07-16 15:24:36,0,1000,1000,0.15
2025-07-16 15:24:36,0,1000,1000,0.15
2025-07-16 15:24:36,0,1000,1000,0.15
2025-07-16 15:24:36,0,1000,1000,0.15
2025-07-16 15:24:36,0,1000,1000,0.15
2025-07-16 15:24:37,0,1000,1000,0.15
2025-07-16 15:24:37,0,1000,1000,0.15
2025-07-16 15:24:37,0,1000,1000,0.15
2025-07-16 15:24:37,0,1000,1000,0.15
2025-07-16 15:24:38,0,1000,1000,0.15
2025-07-16 15:24:38,0,1000,1000,0.15
2025-07-16 15:24:38,0,1000,1000,0.15
2025-07-16 15:27:48,0,1000,1000,0.15
2025-07-16 15:27:49,0,1000,1000,0.15
2025-07-16 15:27:49,0,1000,1000,0.15
2025-07-16 15:27:49,0,1000,1000,0.15
2025-07-16 15:27:49,0,1000,1000,0.15
2025-07-16 15:27:49,0,1000,1000,0.15
2025-07-16 15:27:50,0,1000,1000,0.15
2025-07-16 15:27:50,0,1000,1000,0.15
2025-07-16 15:27:50,0,1000,1000,0.15
2025-07-16 15:27:50,0,1000,1000,0.15
2025-07-16 15:27:50,0,1000,1000,0.15
2025-07-16 15:27:51,0,1000,1000,0.15
2025-07-16 15:27:51,0,1000,1000,0.15
2025-07-16 15:27:51,0,1000,1000,0.15
2025-07-16 15:27:51,0,1000,1000,0.15
2025-07-16 15:27:52,0,1000,1000,0.15
2025-07-16 15:27:52,0,1000,1000,0.15
2025-07-16 15:27:52,0,1000,1000,0.15
2025-07-16 15:27:52,0,1000,1000,0.15
2025-07-16 15:27:52,0,1000,1000,0.15
2025-07-16 15:27:53,0,1000,1000,0.15
2025-07-16 15:27:53,0,1000,1000,0.15
2025-07-16 15:27:53,0,1000,1000,0.15
2025-07-16 15:27:53,0,1000,1000,0.15
2025-07-16 15:27:53,0,1000,1000,0.15
2025-07-16 15:27:54,0,1000,1000,0.15
2025-07-16 15:27:54,0,1000,1000,0.15
2025-07-16 15:27:54,0,1000,1000,0.15
2025-07-16 15:27:54,0,1000,1000,0.15
2025-07-16 15:27:54,0,1000,1000,0.15
2025-07-18 16:31:42,0,1000,1000,-0.1
2025-07-18 16:31:43,0,1000,1000,-0.1
2025-07-18 16:31:44,0,1000,1000,-0.1
2025-07-18 16:31:45,0,1000,1000,-0.1
2025-07-18 16:31:46,0,1000,1000,-0.1
2025-07-18 16:31:47,0,1000,1000,-0.1
2025-07-18 16:31:48,0,1000,1000,-0.1
2025-07-18 16:31:49,0,1000,1000,-0.1
2025-07-18 16:31:50,0,1000,1000,-0.1
2025-07-18 16:31:51,0,1000,1000,-0.1
2025-07-18 16:31:52,0,1000,1000,-0.1
2025-07-18 16:31:53,0,1000,1000,-0.1
2025-07-18 16:31:54,0,1000,1000,-0.1
2025-07-18 16:31:55,0,1000,1000,-0.1
2025-07-18 16:31:56,0,1000,1000,-0.1
2025-07-18 16:31:57,0,1000,1000,-0.1
2025-07-18 16:31:58,0,1000,1000,-0.1
2025-07-18 16:31:59,0,1000,1000,-0.1
2025-07-18 16:32:00,0,1000,1000,-0.1
2025-07-18 16:32:01,0,1000,1000,-0.1
2025-07-18 16:32:02,0,1000,1000,-0.1
2025-07-18 16:32:03,0,1000,1000,-0.1
2025-07-18 16:32:04,0,1000,1000,-0.1
2025-07-18 16:32:06,0,1000,1000,-0.1
2025-07-18 16:32:07,0,1000,1000,-0.1
2025-07-18 16:32:08,0,1000,1000,-0.1
2025-07-18 16:32:09,0,1000,1000,-0.1
2025-07-18 16:32:10,0,1000,1000,-0.1
2025-07-18 16:32:11,0,1000,1000,-0.1
2025-07-18 16:32:12,0,1000,1000,-0.1
2025-07-18 16:37:22,200.0,1000,1200.0,0.0
2025-07-18 16:37:23,240.0,1200.0,1440.0,-0.095
2025-07-18 16:37:24,288.0,1440.0,1728.0,-0.0945
2025-07-18 16:37:26,345.6,1728.0,2073.6,-0.0939
2025-07-18 16:37:27,414.72,2073.6,2488.32,-0.0933
2025-07-18 16:37:28,497.664,2488.32,2985.984,-0.0926
2025-07-18 16:37:29,597.1968,2985.984,3583.1808,-0.0917
2025-07-18 16:37:30,716.6362,3583.1808,4299.817,-0.0908
2025-07-18 16:37:31,859.9634,4299.817,5159.7804,-0.0897
2025-07-18 16:37:32,1031.9561,5159.7804,6191.7364,-0.0884
2025-07-18 16:37:33,1238.3473,6191.7364,7430.0837,-0.087
2025-07-18 16:37:36,1486.0167,7430.0837,8916.1004,-0.0854
2025-07-18 16:37:37,1783.2201,8916.1004,10699.3205,-0.0835
2025-07-18 16:37:38,2139.8641,10699.3205,12839.1846,-0.0813
2025-07-18 16:37:39,2567.8369,12839.1846,15407.0216,-0.0789
2025-07-18 16:37:40,3081.4043,15407.0216,18488.4259,-0.076
