jour,date,seuil
1,2025-07-18,50
2,2025-07-18,50
3,2025-07-18,50
4,2025-07-18,50
5,2025-07-18,50
6,2025-07-18,50
7,2025-07-18,50
8,2025-07-18,50
9,2025-07-18,50
10,2025-07-18,50
11,2025-07-18,50
12,2025-07-18,50
13,2025-07-18,50
14,2025-07-18,50
15,2025-07-18,50
16,2025-07-18,50
17,2025-07-18,50
18,2025-07-18,50
19,2025-07-18,50
20,2025-07-18,50
21,2025-07-18,50
22,2025-07-18,50
23,2025-07-18,50
24,2025-07-18,50
25,2025-07-18,50
26,2025-07-18,50
27,2025-07-18,50
28,2025-07-18,50
29,2025-07-18,50
30,2025-07-18,50
1,2025-07-18,50
2,2025-07-18,50
3,2025-07-18,50
4,2025-07-18,50
5,2025-07-18,50
6,2025-07-18,50
7,2025-07-18,50
8,2025-07-18,50
9,2025-07-18,50
10,2025-07-18,50
11,2025-07-18,50
12,2025-07-18,50
13,2025-07-18,50
14,2025-07-18,50
15,2025-07-18,50
16,2025-07-18,50
17,2025-07-18,50
18,2025-07-18,50
19,2025-07-18,50
20,2025-07-18,50
21,2025-07-18,50
22,2025-07-18,50
23,2025-07-18,50
24,2025-07-18,50
25,2025-07-18,50
26,2025-07-18,50
27,2025-07-18,50
28,2025-07-18,50
29,2025-07-18,50
30,2025-07-18,50
1,2025-07-19,50
2,2025-07-19,50
3,2025-07-19,50
4,2025-07-19,50
5,2025-07-19,50
6,2025-07-19,50
7,2025-07-19,50
8,2025-07-19,50
9,2025-07-19,50
10,2025-07-19,50
11,2025-07-19,50
12,2025-07-19,50
13,2025-07-19,50
14,2025-07-19,50
15,2025-07-19,50
16,2025-07-19,50
17,2025-07-19,50
18,2025-07-19,50
19,2025-07-19,50
20,2025-07-19,50
21,2025-07-19,50
22,2025-07-19,50
23,2025-07-19,50
24,2025-07-19,50
25,2025-07-19,50
26,2025-07-19,50
27,2025-07-19,50
28,2025-07-19,50
29,2025-07-19,50
30,2025-07-19,50
