jour,date,rank,pool_nom,symbol,score,apr
1,2025-06-29,1,STUSD,unknown,108927.58,54046.60
1,2025-06-29,2,NOICE-WETH,unknown,62773.56,138013.21
1,2025-06-29,3,BULLISHV2,unknown,28807.64,28862.79
2,2025-06-30,1,STUSD,unknown,108927.58,54046.60
2,2025-06-30,2,NOICE-WETH,unknown,62773.56,138013.21
2,2025-06-30,3,BULLISHV2,unknown,28807.64,28862.79
3,2025-07-01,1,STUSD,unknown,108927.58,54046.60
3,2025-07-01,2,NOICE-WETH,unknown,62773.56,138013.21
3,2025-07-01,3,BULLISHV2,unknown,28807.64,28862.79
4,2025-07-02,1,STUSD,unknown,108927.58,54046.60
4,2025-07-02,2,NOICE-WETH,unknown,62773.56,138013.21
4,2025-07-02,3,BULLISHV2,unknown,28807.64,28862.79
5,2025-07-03,1,STUSD,unknown,108927.58,54046.60
5,2025-07-03,2,NOICE-WETH,unknown,62773.56,138013.21
5,2025-07-03,3,BULLISHV2,unknown,28807.64,28862.79
6,2025-07-04,1,STUSD,unknown,108927.58,54046.60
6,2025-07-04,2,NOICE-WETH,unknown,62773.56,138013.21
6,2025-07-04,3,BULLISHV2,unknown,28807.64,28862.79
7,2025-07-05,1,STUSD,unknown,108927.58,54046.60
7,2025-07-05,2,NOICE-WETH,unknown,62773.56,138013.21
7,2025-07-05,3,BULLISHV2,unknown,28807.64,28862.79
8,2025-07-06,1,STUSD,unknown,108927.58,54046.60
8,2025-07-06,2,NOICE-WETH,unknown,62773.56,138013.21
8,2025-07-06,3,BULLISHV2,unknown,28807.64,28862.79
9,2025-07-07,1,STUSD,unknown,108927.58,54046.60
9,2025-07-07,2,NOICE-WETH,unknown,62773.56,138013.21
9,2025-07-07,3,BULLISHV2,unknown,28807.64,28862.79
10,2025-07-08,1,STUSD,unknown,108927.58,54046.60
10,2025-07-08,2,NOICE-WETH,unknown,62773.56,138013.21
10,2025-07-08,3,BULLISHV2,unknown,28807.64,28862.79
11,2025-07-09,1,STUSD,unknown,108927.58,54046.60
11,2025-07-09,2,NOICE-WETH,unknown,62773.56,138013.21
11,2025-07-09,3,BULLISHV2,unknown,28807.64,28862.79
12,2025-07-10,1,STUSD,unknown,108927.58,54046.60
12,2025-07-10,2,NOICE-WETH,unknown,62773.56,138013.21
12,2025-07-10,3,BULLISHV2,unknown,28807.64,28862.79
13,2025-07-11,1,STUSD,unknown,108927.58,54046.60
13,2025-07-11,2,NOICE-WETH,unknown,62773.56,138013.21
13,2025-07-11,3,BULLISHV2,unknown,28807.64,28862.79
14,2025-07-12,1,STUSD,unknown,108927.58,54046.60
14,2025-07-12,2,NOICE-WETH,unknown,62773.56,138013.21
14,2025-07-12,3,BULLISHV2,unknown,28807.64,28862.79
15,2025-07-13,1,STUSD,unknown,108927.58,54046.60
15,2025-07-13,2,NOICE-WETH,unknown,62773.56,138013.21
15,2025-07-13,3,BULLISHV2,unknown,28807.64,28862.79
16,2025-07-14,1,STUSD,unknown,108927.58,54046.60
16,2025-07-14,2,NOICE-WETH,unknown,62773.56,138013.21
16,2025-07-14,3,BULLISHV2,unknown,28807.64,28862.79
17,2025-07-15,1,STUSD,unknown,108927.58,54046.60
17,2025-07-15,2,NOICE-WETH,unknown,62773.56,138013.21
17,2025-07-15,3,BULLISHV2,unknown,28807.64,28862.79
18,2025-07-16,1,STUSD,unknown,108927.58,54046.60
18,2025-07-16,2,NOICE-WETH,unknown,62773.56,138013.21
18,2025-07-16,3,BULLISHV2,unknown,28807.64,28862.79
19,2025-07-17,1,STUSD,unknown,108927.58,54046.60
19,2025-07-17,2,NOICE-WETH,unknown,62773.56,138013.21
19,2025-07-17,3,BULLISHV2,unknown,28807.64,28862.79
20,2025-07-18,1,STUSD,unknown,108927.58,54046.60
20,2025-07-18,2,NOICE-WETH,unknown,62773.56,138013.21
20,2025-07-18,3,BULLISHV2,unknown,28807.64,28862.79
21,2025-07-19,1,STUSD,unknown,108927.58,54046.60
21,2025-07-19,2,NOICE-WETH,unknown,62773.56,138013.21
21,2025-07-19,3,BULLISHV2,unknown,28807.64,28862.79
22,2025-07-20,1,STUSD,unknown,108927.58,54046.60
22,2025-07-20,2,NOICE-WETH,unknown,62773.56,138013.21
22,2025-07-20,3,BULLISHV2,unknown,28807.64,28862.79
23,2025-07-21,1,STUSD,unknown,108927.58,54046.60
23,2025-07-21,2,NOICE-WETH,unknown,62773.56,138013.21
23,2025-07-21,3,BULLISHV2,unknown,28807.64,28862.79
24,2025-07-22,1,STUSD,unknown,108927.58,54046.60
24,2025-07-22,2,NOICE-WETH,unknown,62773.56,138013.21
24,2025-07-22,3,BULLISHV2,unknown,28807.64,28862.79
25,2025-07-23,1,STUSD,unknown,108927.58,54046.60
25,2025-07-23,2,NOICE-WETH,unknown,62773.56,138013.21
25,2025-07-23,3,BULLISHV2,unknown,28807.64,28862.79
26,2025-07-24,1,STUSD,unknown,108927.58,54046.60
26,2025-07-24,2,NOICE-WETH,unknown,62773.56,138013.21
26,2025-07-24,3,BULLISHV2,unknown,28807.64,28862.79
27,2025-07-25,1,STUSD,unknown,108927.58,54046.60
27,2025-07-25,2,NOICE-WETH,unknown,62773.56,138013.21
27,2025-07-25,3,BULLISHV2,unknown,28807.64,28862.79
28,2025-07-26,1,STUSD,unknown,108927.58,54046.60
28,2025-07-26,2,NOICE-WETH,unknown,62773.56,138013.21
28,2025-07-26,3,BULLISHV2,unknown,28807.64,28862.79
29,2025-07-27,1,STUSD,unknown,108927.58,54046.60
29,2025-07-27,2,NOICE-WETH,unknown,62773.56,138013.21
29,2025-07-27,3,BULLISHV2,unknown,28807.64,28862.79
30,2025-07-28,1,STUSD,unknown,108927.58,54046.60
30,2025-07-28,2,NOICE-WETH,unknown,62773.56,138013.21
30,2025-07-28,3,BULLISHV2,unknown,28807.64,28862.79
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
2025-07-16,spectra-stusd,spectra-v2,54046.6,125266.72,standard
2025-07-16,nonsense-dust,randomswap,2.5,323.24,standard
