datetime,cycle,pool,score,decision
2025-03-30 12:19:32,1,USDC/ETH,0.9,INVESTIR
2025-03-30 12:19:32,1,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 12:19:32,1,DAI/MATIC,0.285,NE PAS investir
2025-03-30 12:29:32,2,USDC/ETH,0.9,INVESTIR
2025-03-30 12:29:32,2,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 12:29:32,2,DAI/MATIC,0.285,NE PAS investir
2025-03-30 12:34:12,1,USDC/ETH,0.9,INVESTIR
2025-03-30 12:34:12,1,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 12:34:12,1,DAI/MATIC,0.285,NE PAS investir
2025-03-30 13:05:51,1,USDC/ETH,0.9,INVESTIR
2025-03-30 13:05:51,1,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 13:05:51,1,DAI/MATIC,0.285,NE PAS investir
2025-03-30 13:15:51,2,USDC/ETH,0.9,INVESTIR
2025-03-30 13:15:51,2,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 13:15:51,2,DAI/MATIC,0.285,NE PAS investir
2025-03-30 13:25:51,3,USDC/ETH,0.9,INVESTIR
2025-03-30 13:25:51,3,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 13:25:51,3,DAI/MATIC,0.285,NE PAS investir
2025-03-30 13:35:51,4,USDC/ETH,0.9,INVESTIR
2025-03-30 13:35:51,4,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 13:35:51,4,DAI/MATIC,0.285,NE PAS investir
2025-03-30 13:45:51,5,USDC/ETH,0.9,INVESTIR
2025-03-30 13:45:51,5,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 13:45:51,5,DAI/MATIC,0.285,NE PAS investir
2025-03-30 13:55:51,6,USDC/ETH,0.9,INVESTIR
2025-03-30 13:55:51,6,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-30 13:55:51,6,DAI/MATIC,0.285,NE PAS investir
2025-03-30 14:05:51,7,USDC/ETH,0.9,INVESTIR
2025-03-30 14:05:51,7,SHIBA/PEPE,0.0606,NE PAS investir
