[2025-05-30 15:08:31] TOP 1 | beefy | NOICE-WETH | TVL $29,510.00 | APR 77,947.90% | Score 38,973.95
[2025-05-30 15:08:31] TOP 2 | spectra-v2 | STUSD | TVL $132,448.00 | APR 54,046.60% | Score 27,023.30
[2025-05-30 15:08:31] TOP 3 | berapaw | BULLISHV2 | TVL $31,298.00 | APR 29,049.77% | Score 14,524.88
[2025-05-30 15:12:08] TOP 1 | beefy | NOICE-WETH | TVL $29,510.00 | APR 77,947.90% | Score 38,973.95
[2025-05-30 15:12:08] TOP 2 | spectra-v2 | STUSD | TVL $132,448.00 | APR 54,046.60% | Score 27,023.30
[2025-05-30 15:12:08] TOP 3 | berapaw | BULLISHV2 | TVL $31,298.00 | APR 29,049.77% | Score 14,524.88
[2025-05-30 15:14:51] TOP 1 | beefy | NOICE-WETH | TVL $29,510.00 | APR 77,947.90% | Score 38,973.95
[2025-05-30 15:14:51] TOP 2 | spectra-v2 | STUSD | TVL $132,448.00 | APR 54,046.60% | Score 27,023.30
[2025-05-30 15:14:51] TOP 3 | berapaw | BULLISHV2 | TVL $31,298.00 | APR 29,049.77% | Score 14,524.88
[2025-05-30 15:21:01] TOP 1 | beefy | NOICE-WETH | TVL $29,510.00 | APR 77,947.90% | Score 23,384.37
[2025-05-30 15:21:01] TOP 2 | spectra-v2 | STUSD | TVL $132,448.00 | APR 54,046.60% | Score 16,213.98
[2025-05-30 15:21:01] TOP 3 | berapaw | BULLISHV2 | TVL $31,298.00 | APR 29,049.77% | Score 8,714.93
[2025-05-30 15:23:08] TOP 1 | beefy | NOICE-WETH | TVL $28,356.00 | APR 60,877.66% | Score 18,263.30
[2025-05-30 15:23:08] TOP 2 | spectra-v2 | STUSD | TVL $132,448.00 | APR 54,046.60% | Score 16,213.98
[2025-05-30 15:23:08] TOP 3 | berapaw | BULLISHV2 | TVL $31,116.00 | APR 29,659.32% | Score 8,897.80
[2025-05-30 15:23:39] TOP 1 | beefy | NOICE-WETH | TVL $28,356.00 | APR 60,877.66% | Score 18,263.30
[2025-05-30 15:23:39] TOP 2 | spectra-v2 | STUSD | TVL $132,448.00 | APR 54,046.60% | Score 16,213.98
[2025-05-30 15:23:39] TOP 3 | berapaw | BULLISHV2 | TVL $31,116.00 | APR 29,659.32% | Score 8,897.80
[2025-05-30 15:24:09] TOP 1 | beefy | NOICE-WETH | TVL $28,356.00 | APR 60,877.66% | Score 18,263.30
[2025-05-30 15:24:09] TOP 2 | spectra-v2 | STUSD | TVL $132,448.00 | APR 54,046.60% | Score 16,213.98
[2025-05-30 15:24:09] TOP 3 | berapaw | BULLISHV2 | TVL $31,116.00 | APR 29,659.32% | Score 8,897.80
