datetime,solde_simule,top1_nom,top1_apr,top1_gain,bonus_historique
2025-06-29,9.989977796936475e+42,spectra-stusd,56050.26,6.378229193065056e+42,15.0
2025-06-30,2.648325036213517e+43,spectra-stusd,52400.73,1.64932725651987e+43,15.0
2025-07-01,7.232228162864569e+43,spectra-stusd,54936.27,4.583903126651052e+43,15.0
2025-07-02,2.0056117530113538e+44,spectra-stusd,56278.52,1.2823889367248969e+44,15.0
2025-07-03,5.558406398968195e+44,spectra-stusd,56223.55,3.5527946459568415e+44,15.0
2025-07-04,1.473802456636604e+45,spectra-stusd,52416.66,9.179618167397844e+44,15.0
2025-07-05,3.8639794452021696e+45,spectra-stusd,51473.75,2.3901769885655655e+45,15.0
2025-07-06,1.0220130726872815e+46,spectra-stusd,52210.09,6.356151281670646e+45,15.0
2025-07-07,2.7624530628562606e+46,spectra-stusd,54050.24,1.7404399901689794e+46,15.0
2025-07-08,7.633624179300151e+46,spectra-stusd,55967.19,4.871171116443891e+46,15.0
2025-07-09,2.1134630822412738e+47,spectra-stusd,56134.57,1.3501006643112585e+47,15.0
2025-07-10,5.669919603501726e+47,spectra-stusd,53409.42,3.556456521260453e+47,15.0
2025-07-11,1.5074764298812492e+48,spectra-stusd,52646.53,9.404844695310766e+47,15.0
2025-07-12,4.0866963044905183e+48,spectra-stusd,54304.13,2.579219874609269e+48,15.0
2025-07-13,1.1054175203567837e+49,spectra-stusd,54112.59,6.967478899077319e+48,15.0
2025-07-14,2.998877908497288e+49,spectra-stusd,54365.69,1.8934603881405046e+49,15.0
2025-07-15,8.062837412151796e+49,spectra-stusd,53595.27,5.063959503654508e+49,15.0
2025-07-16,2.1515402417162987e+50,spectra-stusd,52955.64,1.3452565005011192e+50,15.0
2025-07-17,5.871563045784598e+50,spectra-stusd,54877.1,3.7200228040682993e+50,15.0
2025-07-18,1.5520431532012322e+51,spectra-stusd,52157.61,9.648868486227724e+50,15.0
2025-07-19,4.191023032493763e+51,spectra-stusd,53966.88,2.6389798792925306e+51,15.0
2025-07-20,1.15689230582281e+52,spectra-stusd,55873.74,7.377900025734336e+51,15.0
2025-07-21,3.083024239197497e+52,spectra-stusd,52843.08,1.9261319333746873e+52,15.0
2025-07-22,8.289536157380819e+52,spectra-stusd,53600.02,5.206511918183321e+52,15.0
2025-07-23,2.3025039590907113e+53,spectra-stusd,56419.57,1.4735503433526294e+53,15.0
2025-07-24,6.34372022164963e+53,spectra-stusd,55706.61,4.041216262558919e+53,15.0
2025-07-25,1.6789755202701017e+54,spectra-stusd,52263.98,1.0446034981051387e+54,15.0
2025-07-26,4.405771005158606e+54,spectra-stusd,51546.98,2.726795484888504e+54,15.0
2025-07-27,1.2236575836297799e+55,spectra-stusd,56413.04,7.830804831139193e+54,15.0
2025-07-28,3.2938202456124705e+55,spectra-stusd,53695.71,2.0701626619826907e+55,15.0
