[2025-05-31 17:26:03] TOP 1 | beefy | NOICE-WETH | TVL $30,528.00 | APR 138,013.21% | Score 41,403.96
[2025-05-31 17:26:03] TOP 2 | spectra-v2 | STUSD | TVL $132,448.00 | APR 54,046.60% | Score 16,213.98
[2025-05-31 17:26:03] TOP 3 | berapaw | BULLISHV2 | TVL $28,784.00 | APR 28,862.79% | Score 8,658.84
[2025-05-31 17:28:37] 📅 Nouvelle analyse lancée
[2025-05-31 17:28:37] 🔧 Profil utilisé : modéré (APR 0.3, TVL 0.2)
[2025-05-31 17:28:38] beefy | NOICE-WETH | TVL $30,528.00 | APR 138,013.21% | Score 41,403.96
[2025-05-31 17:28:38] spectra-v2 | STUSD | TVL $132,448.00 | APR 54,046.60% | Score 16,213.98
[2025-05-31 17:28:38] berapaw | BULLISHV2 | TVL $28,784.00 | APR 28,862.79% | Score 8,658.84
[2025-05-31 17:30:47] 📅 Nouvelle analyse lancée
[2025-05-31 17:30:47] 🔧 Profil utilisé : modéré (APR 0.3, TVL 0.2)
[2025-05-31 17:30:48] [POOL] lido | STETH | TVL $22,782,484,988.00 | APR 2.89% | Score 5.42
[2025-05-31 17:30:48] [POOL] ether.fi-stake | WEETH | TVL $6,506,474,384.00 | APR 3.34% | Score 2.30
[2025-05-31 17:30:48] [POOL] binance-staked-eth | WBETH | TVL $5,657,004,080.00 | APR 2.69% | Score 1.94
[2025-05-31 17:30:48] [POOL] aave-v3 | WEETH | TVL $4,848,986,037.00 | APR 0.00% | Score 0.97
[2025-05-31 17:30:48] [POOL] aave-v3 | WBTC | TVL $4,082,158,370.00 | APR 0.01% | Score 0.82
[2025-05-31 17:30:48] [POOL] rocket-pool | RETH | TVL $3,384,616,658.00 | APR 2.63% | Score 1.47
[2025-05-31 17:30:48] [POOL] ethena-usde | SUSDE | TVL $3,099,968,001.00 | APR 6.73% | Score 2.64
[2025-05-31 17:30:48] [POOL] aave-v3 | WSTETH | TVL $3,063,266,272.00 | APR 0.06% | Score 0.63
[2025-05-31 17:30:48] [POOL] jito-liquid-staking | JITOSOL | TVL $2,948,471,866.00 | APR 7.96% | Score 2.98
[2025-05-31 17:30:48] [POOL] sky-lending | SUSDS | TVL $2,338,479,249.00 | APR 4.50% | Score 1.82
[2025-05-31 17:30:48] [POOL] sparklend | WSTETH | TVL $1,992,352,123.00 | APR 0.00% | Score 0.40
[2025-05-31 17:30:48] [POOL] justlend | TRX | TVL $1,877,302,500.00 | APR 0.05% | Score 0.39
[2025-05-31 17:30:48] [POOL] binance-staked-sol | BNSOL | TVL $1,378,497,367.00 | APR 5.87% | Score 2.04
[2025-05-31 17:30:48] [POOL] justlend | ETH | TVL $1,346,342,517.00 | APR 0.00% | Score 0.27
[2025-05-31 17:30:48] [POOL] aave-v3 | CBBTC | TVL $1,344,151,807.00 | APR 0.01% | Score 0.27
[2025-05-31 17:30:48] [POOL] sky-lending | WETH | TVL $1,232,009,926.00 | APR 0.00% | Score 0.25
[2025-05-31 17:30:48] [POOL] kelp | RSETH | TVL $1,176,729,128.00 | APR 2.77% | Score 1.07
[2025-05-31 17:30:48] [POOL] justlend | STRX | TVL $1,100,865,138.00 | APR 0.00% | Score 0.22
[2025-05-31 17:30:48] [POOL] aave-v3 | PT-SUSDE-31JUL2025 | TVL $949,117,251.00 | APR 0.00% | Score 0.19
[2025-05-31 17:30:48] [POOL] meth-protocol | METH | TVL $932,885,357.00 | APR 3.28% | Score 1.17
[2025-05-31 17:30:48] [POOL] aave-v3 | WETH | TVL $913,387,377.00 | APR 1.91% | Score 0.75
[2025-05-31 17:30:48] [POOL] sky-lending | WETH | TVL $861,816,595.00 | APR 0.00% | Score 0.17
[2025-05-31 17:30:48] [POOL] renzo | EZETH | TVL $847,031,505.00 | APR 3.97% | Score 1.36
[2025-05-31 17:30:48] [POOL] jupiter-staked-sol | JUPSOL | TVL $835,482,309.00 | APR 8.39% | Score 2.68
[2025-05-31 17:30:48] [POOL] sky-lending | DAI | TVL $785,615,914.00 | APR 2.25% | Score 0.83
[2025-05-31 17:30:48] [POOL] aave-v3 | RSETH | TVL $739,091,576.00 | APR 0.00% | Score 0.15
[2025-05-31 17:30:48] [POOL] marinade-liquid-staking | MSOL | TVL $738,220,537.00 | APR 8.34% | Score 2.65
[2025-05-31 17:30:48] [POOL] morpho-blue | CBBTC | TVL $724,014,479.00 | APR 0.00% | Score 0.14
[2025-05-31 17:30:48] [POOL] stakewise-v2 | OSETH | TVL $714,734,218.00 | APR 2.66% | Score 0.94
[2025-05-31 17:30:48] [POOL] justlend | BTC | TVL $710,274,242.00 | APR 0.00% | Score 0.14
[2025-05-31 17:30:48] [POOL] venus-core-pool | BTCB | TVL $700,084,365.00 | APR 0.02% | Score 0.15
[2025-05-31 17:30:48] [POOL] aave-v3 | USDT | TVL $695,324,513.00 | APR 3.65% | Score 1.24
[2025-05-31 17:30:48] [POOL] aave-v3 | OSETH | TVL $635,388,158.00 | APR 0.00% | Score 0.13
[2025-05-31 17:30:48] [POOL] compound-v3 | WBTC | TVL $632,472,706.00 | APR 0.00% | Score 0.13
[2025-05-31 17:30:48] [POOL] usual | USD0++ | TVL $560,723,355.00 | APR 9.76% | Score 3.04
[2025-05-31 17:30:48] [POOL] origin-ether | SUPEROETHB | TVL $559,534,745.00 | APR 4.76% | Score 1.54
[2025-05-31 17:30:48] [POOL] slisbnb | SLISBNB | TVL $525,889,450.00 | APR 16.67% | Score 5.11
[2025-05-31 17:30:48] [POOL] kamino-lend | JUPSOL | TVL $509,178,595.00 | APR 0.00% | Score 0.10
[2025-05-31 17:30:48] [POOL] binance-staked-eth | WBETH | TVL $483,511,431.00 | APR 2.69% | Score 0.90
[2025-05-31 17:30:48] [POOL] aerodrome-slipstream | WETH-SUPEROETHB | TVL $482,369,229.00 | APR 0.12% | Score 0.13
[2025-05-31 17:30:48] [POOL] aave-v3 | EZETH | TVL $478,207,894.00 | APR 0.00% | Score 0.10
[2025-05-31 17:30:48] [POOL] sparklend | USDS | TVL $434,868,320.00 | APR 4.87% | Score 1.55
[2025-05-31 17:30:48] [POOL] liquid-collective | LSETH | TVL $383,509,004.00 | APR 3.05% | Score 0.99
[2025-05-31 17:30:48] [POOL] stader | ETHX | TVL $373,373,485.00 | APR 2.89% | Score 0.94
[2025-05-31 17:30:48] [POOL] aave-v3 | USDC | TVL $370,160,412.00 | APR 3.90% | Score 1.24
[2025-05-31 17:30:48] [POOL] uniswap-v3 | BET-USDT | TVL $354,814,921.00 | APR 0.00% | Score 0.07
[2025-05-31 17:30:48] [POOL] aave-v3 | LBTC | TVL $350,210,541.00 | APR 0.00% | Score 0.07
[2025-05-31 17:30:48] [POOL] sparklend | CBBTC | TVL $334,561,268.00 | APR 0.00% | Score 0.07
[2025-05-31 17:30:48] [POOL] aave-v3 | BTC.B | TVL $329,388,672.00 | APR 0.01% | Score 0.07
[2025-05-31 17:30:48] [POOL] coinbase-wrapped-staked-eth | CBETH | TVL $321,520,817.00 | APR 3.20% | Score 1.02
[2025-05-31 17:30:48] [POOL] venus-core-pool | WBNB | TVL $319,485,192.00 | APR 0.36% | Score 0.17
[2025-05-31 17:30:48] [POOL] morpho-blue | SPARKUSDC | TVL $313,915,895.00 | APR 4.80% | Score 1.50
[2025-05-31 17:30:48] [POOL] aave-v3 | WBTC | TVL $313,773,804.00 | APR 0.01% | Score 0.06
[2025-05-31 17:30:48] [POOL] sky-lending | WSTETH | TVL $312,246,315.00 | APR 0.00% | Score 0.06
[2025-05-31 17:30:48] [POOL] yieldnest | YNCOBTCK | TVL $304,680,022.00 | APR 0.00% | Score 0.06
[2025-05-31 17:30:48] [POOL] aave-v3 | AAVE | TVL $304,546,406.00 | APR 0.00% | Score 0.06
[2025-05-31 17:30:48] [POOL] bybit-staked-sol | BBSOL | TVL $304,340,321.00 | APR 6.74% | Score 2.08
[2025-05-31 17:30:48] [POOL] kamino-lend | JITOSOL | TVL $299,019,107.00 | APR 0.00% | Score 0.06
[2025-05-31 17:30:48] [POOL] lista-lending | BNB | TVL $288,852,617.00 | APR 1.78% | Score 0.59
[2025-05-31 17:30:48] [POOL] stables-labs-usdx | USDX | TVL $281,947,516.00 | APR 4.90% | Score 1.53
[2025-05-31 17:30:48] [POOL] lisusd | SLISBNB | TVL $281,146,281.00 | APR 0.00% | Score 0.06
[2025-05-31 17:30:48] [POOL] morpho-blue | SPDAI | TVL $275,525,142.00 | APR 0.64% | Score 0.25
[2025-05-31 17:30:48] [POOL] aave-v3 | PT-EUSDE-14AUG2025 | TVL $269,227,131.00 | APR 0.00% | Score 0.05
[2025-05-31 17:30:48] [POOL] aave-v3 | WSTETH | TVL $267,825,416.00 | APR 0.25% | Score 0.13
[2025-05-31 17:30:48] [POOL] compound-v2 | WBTC | TVL $264,269,585.00 | APR 0.01% | Score 0.05
[2025-05-31 17:30:48] [POOL] drift-staked-sol | DSOL | TVL $258,983,312.00 | APR 8.63% | Score 2.64
[2025-05-31 17:30:48] [POOL] benqi-staked-avax | SAVAX | TVL $248,295,711.00 | APR 5.24% | Score 1.62
[2025-05-31 17:30:48] [POOL] liquity-v1 | ETH | TVL $246,995,434.00 | APR 0.00% | Score 0.05
[2025-05-31 17:30:48] [POOL] aave-v3 | USDC.E | TVL $239,952,207.00 | APR 0.18% | Score 0.10
[2025-05-31 17:30:48] [POOL] morpho-blue | CBBTC | TVL $235,777,359.00 | APR 0.00% | Score 0.05
[2025-05-31 17:30:48] [POOL] aave-v3 | SUSDE | TVL $235,742,632.00 | APR 0.00% | Score 0.05
[2025-05-31 17:30:48] [POOL] aave-v3 | WEETH | TVL $234,836,101.00 | APR 0.02% | Score 0.05
[2025-05-31 17:30:48] [POOL] fluid-lending | USDC | TVL $230,359,429.00 | APR 5.78% | Score 1.78
[2025-05-31 17:30:48] [POOL] reserve-protocol | ETH+ | TVL $225,678,540.00 | APR 1.86% | Score 0.60
[2025-05-31 17:30:48] [POOL] balancer-v2 | WSTETH-AAVE | TVL $215,042,621.00 | APR 1.03% | Score 0.35
[2025-05-31 17:30:48] [POOL] aave-v3 | WEETH | TVL $213,601,263.00 | APR 0.00% | Score 0.04
[2025-05-31 17:30:48] [POOL] justlend | USDD | TVL $213,307,077.00 | APR 6.01% | Score 1.85
[2025-05-31 17:30:48] [POOL] fluid-lending | WSTETH | TVL $211,974,176.00 | APR 0.14% | Score 0.08
[2025-05-31 17:30:48] [POOL] frax-ether | SFRXETH | TVL $209,794,293.00 | APR 3.10% | Score 0.97
[2025-05-31 17:30:48] [POOL] sparklend | USDS | TVL $194,958,574.00 | APR 2.05% | Score 0.65
[2025-05-31 17:30:48] [POOL] morpho-blue | USUALUSDC+ | TVL $194,765,977.00 | APR 6.11% | Score 1.87
[2025-05-31 17:30:48] [POOL] aave-v3 | WAVAX | TVL $193,239,820.00 | APR 0.89% | Score 0.31
[2025-05-31 17:30:48] [POOL] fluid-lending | USDT | TVL $189,127,951.00 | APR 6.16% | Score 1.89
[2025-05-31 17:30:48] [POOL] compound-v3 | WETH | TVL $186,278,312.00 | APR 0.00% | Score 0.04
[2025-05-31 17:30:48] [POOL] aave-v3 | LINK | TVL $184,447,910.00 | APR 0.01% | Score 0.04
[2025-05-31 17:30:48] [POOL] curve-dex | DAI-USDC-USDT | TVL $184,162,145.00 | APR 0.00% | Score 0.04
[2025-05-31 17:30:48] [POOL] aave-v3 | CBBTC | TVL $182,284,716.00 | APR 0.05% | Score 0.05
[2025-05-31 17:30:48] [POOL] aave-v3 | USDE | TVL $179,140,606.00 | APR 2.97% | Score 0.93
[2025-05-31 17:30:48] [POOL] fluid-lite | ETH | TVL $178,024,999.00 | APR 5.22% | Score 1.60
[2025-05-31 17:30:48] [POOL] morpho-blue | STEAKUSDC | TVL $171,878,755.00 | APR 4.87% | Score 1.50
[2025-05-31 17:30:48] [POOL] aave-v3 | GHO | TVL $168,355,377.00 | APR 12.66% | Score 3.83
[2025-05-31 17:30:48] [POOL] reservoir-protocol | SRUSD | TVL $165,705,315.00 | APR 8.50% | Score 2.58
[2025-05-31 17:30:48] [POOL] venus-core-pool | USDT | TVL $161,418,259.00 | APR 2.10% | Score 0.66
